Firm Name,Website,Practice Areas,Attorney Count,Notes,Outreach Status,Needs Research
SEYFERTH BLUMENTHAL & HARRIS LLC,,"Commercial Litigation, Employment Litigation, Labor & Employment",21,Founded by BigLaw refugees. 13 lawyers. Labor & employment focus. Not family law/estate. ICP mismatch.,Not Started,
"SHACHTMAN LAW FIRM, THE",,"Personal Injury - General, Medical Malpractice, Products Liability",8,Personal injury plaintiff focus. Super Lawyer (Scott Shachtman). Not family law/estate. ICP mismatch.,Not Started,
SHAFFER LOMBARDO SHURIN,,"Construction Law, Business Litigation, Professional Liability, ADR, Business & Transactional Law",16,Founded 1994. Construction & commercial litigation focus. 12+ attorneys. ICP mismatch.,Not Started,
"SHAMBERG, JOHNSON & BERGMAN, CHTD.",,"Personal Injury, Wrongful Death, Medical Malpractice",28,Founded 1949. Personal injury specialist. 850M+ recovery record. Not family law. ICP mismatch.,Not Started,
"SHANK & HEINEMANN, LLC",,"Business Litigation, Commercial Litigation",10,"Mission Woods, KS. Commercial litigation focus. Not family law/estate. ICP mismatch.",Not Started,
"SHARMA-CRAWFORD, THE CLINIC AT, ATTORNEYS AT LAW",,"Immigration Law, Removal Defense, Appeals",9,Nonprofit law clinic. Immigration law specialist. Not family law/estate. ICP mismatch.,Not Started,
SHARP LAW LLP,,"Class Action Litigation, Complex Litigation, Antitrust, RICO, Consumer Protection",17,"Overland Park, KS. Class action/complex litigation focus. 50+ lead counsel cases. ICP mismatch.",Not Started,
"SHELTON LAW OFFICE, P.A.",,"Personal Injury, Wrongful Death, Foster Care Abuse, Insurance Dispute, Negligence",8,"Overland Park, KS. Personal injury/abuse focus. 20+ years trial experience. Not family law/estate.",Not Started,
"SHETLAR, JAMES R., LAW OFFICES, PA",,"Personal Injury, Medical Malpractice, Workers' Compensation",8,"Overland Park, KS. Medical litigation & injury focus. 35+ years experience. Not family law.",Not Started,
"SHIPMAN & DEHARDT, P.C.",,"Criminal Law, Family Law, Probate Law, Civil Law",10,Husband/wife team. Kansas City metro. ICP fit: family law + probate + civil litigation. 75+ combined years.,Not Started,
"SHOOK, HARDY & BACON L.L.P.",,"Intellectual Property, Environmental & Toxic Tort, Employment Litigation, Commercial Litigation, Products Liability, Cannabis",239,Large international firm (239 attorneys). Kansas City HQ. Litigation/IP focus. Not family law/estate. ICP mismatch.,Not Started,
STURDEVANT LAW OFFICE,,"Estate Planning, Probate, Elder Law",1,44+ years experience. Estate planning + probate specialist. Strong ICP fit (estate planning focus). Solo limits scale.,Not Started,
SULLIVAN LAW L.L.C.,,"Product Liability, Personal Injury, Wrongful Death, Civil Litigation",1,"Personal injury & product liability specialist, $100M+ in settlements. Not target ICP.",Not Started,
"SUMMERS & JOHNSON, PC",,"Medical Device Litigation, Defective Drug Litigation, Personal Injury",1,"Weston, MO-based with KC office. 30-year history in medical device/drug litigation. Not target ICP.",Not Started,
"SUTTON LAW OFFICE, PA",,"Estate Planning, Probate, Business Law, Elder Law",1,"Overland Park, KS. Estate planning + probate focus. Strong ICP fit (estate planning/probate). Founded 1999.",Not Started,
SWANSON BERNARD LLC,,"Corporate Law, Litigation, Tax, Trusts & Estates, Real Estate, Employment",1,Kansas City full-service firm. 7+ Super Lawyers listed. Strong in trusts & estates. Not strong family law signals.,Not Started,
"TAFRESHI LAW, LLC",,"Family Law, Estate Planning, Divorce, Probate, Guardianship, Adoption",1,"Olathe, KS. Strong family law + estate planning focus. Dana Tafreshi founded 2012. Excellent ICP fit.",Not Started,
TAMMY HORN LLC,,Employment Litigation,1,"30+ years trial attorney, employment litigation focused. Not target ICP.",Not Started,
"TERRIL LAW FIRM, LLC",,Personal Injury,1,"Personal injury specialist, Super Lawyer rated. Founded 1996. Not target ICP.",Not Started,
THE ACCURSO LAW FIRM,www.accursolaw.com,"Personal Injury, Products Liability, Commercial Litigation, Insurance Defense",8,"8 attorneys reported. Personal injury focus, litigation-heavy. Not ideal for CaseDelta (personal injury, not document-heavy practice areas like family law or estate). Has recovered $95M+ for clients.",Not Started,
THE HASTINGS LAW FIRM,www.hastingslawfirmonline.com,"Criminal Defense, Felony Defense",1,Solo attorney (Molly Hastings). 23 years criminal defense experience. Exclusive criminal practice. Not aligned with ICP. Score 1 (criminal only).,Not Started,
THE KENNER LAW FIRM P.C.,,"Personal Injury, Medical Malpractice, Nursing Home Abuse, Trucking Accidents",1,"6 attorneys. Medical malpractice and personal injury focus. Not aligned with ICP (family law, estate, immigration preferred).",Not Started,
"THE LAW OFFICES OF TRACY L. ROBINSON, LC",,"Bankruptcy, Consumer Law",1,Founded 1993. Bankruptcy specialist. Not family law/estate. ICP mismatch.,Not Started,
"THE MEYERS LAW FIRM, LC",,"Employment Law, Civil Rights, Personal Injury, Consumer Law",11,Founded 1981. Employment + civil rights focus. Major win: $57M age discrimination settlement. Document-intensive litigation.,Not Started,
"THE NAIL LAW FIRM, LLC",,"Personal Injury, Medical Malpractice, Catastrophic Injury, Trucking Accidents",8,"Founded by Roger Nail. 2 Super Lawyers. High-value catastrophic cases. Multi-office (KC, Lee's Summit). Strong ICP fit.",Not Started,
THE WELDER FIRM,,"Catastrophic Injury, Wrongful Death, Workers Compensation, Auto/Truck Accidents",1,"Plaintiff personal injury firm. Not target ICP (injury litigation, not family/estate/immigration).",Not Started,
"THILGES BERNHARDT & ISAACS, ATTORNEYS AT LAW, LLC",,"Divorce, High-Asset Divorce, Family Law, Mediation, Paternity, Prenuptial/Postnuptial",1,"Overland Park boutique family law firm since 1991. 4+ attorneys. Excellent ICP fit - family law specialist, high-asset focus.",Not Started,
"THOMASON, MARK, LAW OFFICE OF, LLC",,Criminal Law,1,Criminal law specialist with KC and Blue Springs offices. 44+ years experience. Not target ICP.,Not Started,
"THOMPSON LAW OFFICES, P.C.",,"Personal Injury, Product Liability, Traumatic Brain Injury",1,North Kansas City personal injury trial firm. Contingency model. Not target ICP.,Not Started,
"THORNBERRY BROWN, LLC",,"Employment Law, Personal Injury, Discrimination, Retaliation",1,Kansas City employment & personal injury firm. 15+ year history. Not target ICP (employment/PI focused).,Not Started,
TOMASIC & REHORN,,"Workers Compensation, Business, Employment, Real Estate",1,"Kansas City, KS since partnership formed. 50+ years combined experience. Not target ICP.",Not Started,
"TONGIER, JOHN D., LLC",,"Mediation, Personal Injury, Medical Negligence",1,"Overland Park mediator, 40+ years experience. Almost exclusively mediation since 2018. Not target ICP.",Not Started,
"TROPPITO MILLER GRIFFIN, LLC",,"Construction Law, DUI/DWI, Criminal Law, Bankruptcy, Real Estate, Estate Planning",1,"Full-service firm, founded 1940. Construction law specialist. Limited estate planning signals. Not strong ICP fit.",Not Started,
TURNER & SWEENY,,"Personal Injury, Medical Malpractice, Workers Compensation, Auto Accidents, Wrongful Death",1,"2 attorneys (Christopher P. Sweeny, John E. Turner - both Super Lawyers). Located at 10401 Holmes Rd, Suite 250, KC MO. Founded 1998. Personal injury focus only. Not family law/estate. Low ICP fit.",Not Started,
TURNEY LG,,"Product Liability, Professional Liability, Medical Liability, Insurance Liability",1,Kansas City litigation boutique. Defense-focused (product/professional/medical liability). Not target ICP.,Not Started,
"WALTERS LAW FIRM, LLC",,"Serious Injury, Wrongful Death, Personal Injury",1,"2 attorneys (Lon Walters, Christin DiMartino). Located at 23A E 3rd St, KC MO. Serious injury and wrongful death focus since 1998. Not family law/estate. Low ICP fit.",Not Started,
"WALTERS RENWICK RICHARDS & VAUGHAN, P.C.",,"Class Action, Complex Litigation, Construction Law, Product Liability, Personal Injury, Consumer Fraud, Business Disputes, Medical Malpractice",1,"4 attorneys (R. Frederick Walters, J. Michael Vaughan, Karen W. Renwick, Kip D. Richards - all Super Lawyers). Located at 1100 Main City Center Square, Suite 2500, KC MO. Founded 1991. Litigation powerhouse with major verdicts ($217.7M, $12M settlements). Not family law. Low ICP fit.",Not Started,
"WARDEN GRIER, LLP",,"Commercial Litigation, Civil Trial Practice, Arbitration, Financial Loss Litigation, Property Loss, Medical Malpractice, Legal Malpractice, Fiduciary Claims, Construction Litigation",1,"6 attorneys (J. Michael Grier, James M. Warden, others). Located at 420 Nichols Rd, Suite 200, KC MO. Founded 2002. Commercial litigation powerhouse. Not family law. Low ICP fit.",Not Started,
"WASSBERG, JOHN, LAW OFFICE, LLC",,"Business Transactions, Tax Law, Real Estate Law",1,"John I. Wassberg solo practice. Located at 8601 Ash Lane, Prairie Village KS. Admitted 1969 (55+ years). Business, litigation, and real estate focus. AV Preeminent rating. Not family law. Low ICP fit.",Not Started,
"WATSON & DAMERON, LLP",,"Personal Injury, Workers Compensation, Immigration, Criminal Law, Medical Malpractice, Traffic Court",1,"3 attorneys (Russell S. Dameron, Kathleen Marie Hagen, Henri J. Watson). Located at 2500 Holmes St, KC MO. Founded 1984. Diverse practice areas but no family law. Low ICP fit.",Not Started,
WATTERS WOLF BUB HANSMANN,,"Civil Litigation, Personal Injury, Appellate Law, Insurance Coverage, Construction Litigation, Employment & Labor",1,"Trial lawyers with 40+ years experience, 1000+ cases tried. Multi-state appellate practice. Not target ICP (no family/estate/immigration).",Not Started,
WENDT LAW FIRM P.C.,,Personal Injury,1,"Personal injury trial firm, $100M+ in settlements. Founded attorney Samuel Wendt. Not target ICP.",Not Started,
"WHITE, F.A., LAW OFFICE OF",,"Criminal Defense, Federal Practice",1,Criminal defense focused. Not target ICP.,Not Started,
"WHITE, GRAHAM, BUCKLEY & CARR, LLC",,"Personal Injury, Employment Discrimination",1,"Established 1980, Independence, MO. Personal injury & employment focus. Not target ICP.",Not Started,
WIEDNER & MCAULIFFE,,"Workers Compensation, Civil Litigation",1,"National firm founded 1973, KC office part of multi-state presence. Defense litigation & workers comp focus. Not target ICP.",Not Started,
"WIESNER & FRACKOWIAK, LC",,"Bankruptcy, Tax Law",1,"Bankruptcy & tax specialist, 50+ years experience. Overland Park, KS. Not target ICP.",Not Started,
WILKES & DUNN,,"Contracts, Business Organizations, Real Estate, Litigation, Criminal",1,"Kansas partnership since 1977, AV rated. General practice with business focus. Not target ICP.",Not Started,
"WILLENS, MARK L., LAW OFFICE OF",,"Family Law, Real Estate, Personal Injury, Estate Planning, Probate, Litigation",1,41+ years family law experience. Family law + estate planning + probate. Strong ICP fit (family law + estate). Solo practice limits scale.,Not Started,
"WILLIAMS & CAMPO, PC",,"Municipal Law, Economic Development, Eminent Domain, Utilities, Land Use",1,Lee's Summit-based municipal law firm. Established 2005. Not target ICP.,Not Started,
WILLIAMS DIRKS DAMERON LLC,www.yonke-law.com,"Employment Law, Labor Relations, Patent Law, Wage & Hour, Class Actions, Business Law",42,"Established 2013, 8 employees. Business litigation & employment focus. Not target ICP (no family/estate/immigration).",Not Started,Website in source appears to be a different firm (www.yonke-law.com)
ADAMS LAW OFFICES,https://www.adamslawoffices.com/,"Family Law, Bankruptcy, Criminal, Probate",1,30+ years; Kansas City metro service area,Not Started,
ALDRIDGE & HALL VFW Bldg.,https://www.manta.com/c/mm8nsz7/aldridge-hall,"Attorney Referral Services, General Practice",1,Established 1977; incorporated Missouri,Not Started,
"ALTIERI LAW, LLC",https://midwestattorneys.com/,"Personal Injury, Medical Malpractice, Wrongful Death, Criminal Defense, Family Law, Traffic",1,Altieri Gilmore LLP; serves Kansas City/Blue Springs metro,Not Started,
"ANDERSON & MILHOLLAND, PC",andersonmilholland.net,"Estate Planning, Civil Law, Criminal Law, Mediation, Domestic Law, Probate, Real Estate",1,Founded 40+ years ago; serves Cass/Bates County area,Not Started,
"ARENSBERG LAW OFFICES, PA",https://marensberg.com/,"Real Estate, Franchise, Business Formation, Mergers & Acquisitions, Contract Law, Employment",1,"Founded 1990; Mark Arensberg, business law focus",Not Started,
BOLSTAD & RUARK,https://www.bolstadandruarklaw.com/,"Family Law, Divorce, Custody, Paternity, Personal Injury, Traffic/DWI, Business Planning, Adoptions, Wills/Probate, Mediation",8,Founded 1993; serves Clay/Platte County; Kansas City metro area; **ICP FIT: Family Law + Estate Planning**,Not Started,
"BOND LAW OFFICE, LLC",https://bondlawofficekc.com/,"Real Estate Transactions, Contract Drafting, Debt Defense, Civil Litigation, Estate Planning, DUI Defense",7,Led by Sanford P. Bond; boutique firm; full-service practice,Not Started,
"BOSCH, DENNIS B., LAW OFFICE OF",https://lawyers.findlaw.com/profile/view/2999112_1/,"Estate Planning, Family Law, Adoption, Real Estate",6,6 attorneys reported. No website available to determine practice area focus. Insufficient data for accurate ICP scoring.,Not Started,
BOWER LAW LLC,https://bowerlawkc.com/,"Family Law, Divorce, Custody, Adoption, Personal Injury, Estate Planning",5,5 attorneys reported. No website available. Cannot determine practice area or specialization.,Not Started,
"BRADLEY & BRADLEY, LC",https://www.bradleylclaw.com/,"Criminal Law, Traffic Law, Real Estate, Estate Planning, Probate",9,9 attorneys reported. No website available for practice area determination.,Not Started,
"BRADSHAW, STEELE, COCHRANE",https://bradshawsteele.com/,"Litigation, Workers Comp, Corporate, Real Estate, Family, Bankruptcy, Estate Planning",4,4 attorneys reported. No website. Insufficient information for ICP assessment.,Not Started,
"BRANCATO HAGGERTY & PALMENTERE, L.C.",https://bhplawfirm.com/,"Personal Injury, Wrongful Death, Workers Comp, Auto Accidents",9,9 attorneys reported. No website available. Cannot determine specialization.,Not Started,
"BRATCHER GOCKEL LAW, L.C.",https://www.bgklawyers.com/,"Employment Discrimination, Personal Injury, Trial Law",9,9 attorneys reported. No website. Practice area unknown.,Not Started,
"BRESSEL, JEROLD A., CHARTERED",http://bressellaw.org/,"Family Law, Corporate Law, Real Estate, Business Valuation, Child Custody/Support",9,9 attorneys reported. No website available for research.,Not Started,
BREWSTER & BREWSTER,https://www.lawyers.com/kansas-city/missouri/brewster-and-brewster-1031976-f/,General Practice,7,7 attorneys reported. No website. Insufficient data.,Not Started,
"BROWN & BROWN ATTORNEYS, LLC",https://www.brownandbrownattorneys.com/,"Personal Injury, Criminal Law, Bankruptcy, Wrongful Death",8,8 attorneys reported. No website available.,Not Started,
"BROWN & JAMES, PC",https://brownjames.com/,"Litigation, Appeals, Insurance Coverage, Defense Verdicts",15,15 attorneys reported. No website. Cannot assess practice area.,Not Started,
"BROWN & RUPRECHT, PC",https://brlawkc.com/,"Bankruptcy, Commercial Litigation, Construction, Corporate Transactions, Employee Benefits, Estate Planning, Family Law, Insurance, Labor & Employment, Professional Liability, Real Estate, Taxation",16,16 attorneys reported. No website available.,Not Started,
"BROWN LAW FIRM, LLC",https://brownlawfirmllc.com/,General Practice,8,Super Lawyers recognition; 1 attorney listed,Not Started,
"CLAYMAN, MICHAEL, LAW FIRM",https://ericclaymanlaw.com/criminal-trial-attorney/,"Personal Injury, Workers Compensation",1,Solo practice. No website. Cannot determine specialization.,Not Started,
"CLIFFORD & SAVIO, LLC",https://www.cliffordsaviolaw.com/,"Personal Injury, Auto Accidents, Trucking, Slip & Fall, Negligent Security, Wrongful Death",2,2 attorneys in Kansas City. No website. Insufficient data for practice area assessment.,Not Started,
"COPILEVITZ LAM & RANEY, PC",www.kcmba.org,unknown,239,"Input data shows 239 attorneys, which appears to be KCMBA database listing error (website URL = kcmba.org). Actual firm cannot be assessed.",Not Started,Yes - practice areas unknown or uncategorized
"DAVIS LAW FIRM, LLC, THE",https://davisattorneyskc.com/,"Family Law, Personal Injury, Civil Litigation, Landlord/Tenant, Traffic, Real Estate",6,6 attorneys reported. No website. Cannot determine practice area.,Not Started,
"DAVIS, SANDS & COLLINS, P.C.",http://ddsc-law.com/,"Estate & Trust Litigation, Estate Planning & Probate, Alternative Dispute Resolution",8,8 attorneys reported. No website available for research.,Not Started,
"DEAN & MODRCIN, LLC",https://profiles.superlawyers.com/kansas/overland-park/lawfirm/dean-and-modrcin-llc/,Family Law,7,7 attorneys reported. No website. Insufficient data.,Not Started,
"DEANS, J.H., LAW OFFICE OF",https://lawyers.findlaw.com/missouri/raytown/2205502_1/,"Social Security, Disability, Administrative Law, General Practice",7,7 attorneys reported. No website available.,Not Started,
"DEFEQ LAW FIRM, THE",https://www.deffetlaw.com/,"Personal Injury, Criminal Defense",9,9 attorneys reported. No website. Cannot assess specialization.,Not Started,
"DEJANES, SHERRY D., PC",https://ladylawyerkc.com/,"Consumer Fraud, Medical Malpractice, Personal Injury",6,6 attorneys reported. No website. Practice area unknown.,Not Started,
"DELUCCIE & O'HARA LAW OFFICES, LLC",https://www.yelp.com/biz/deluccie-and-o-hara-law-offices-independence,"Personal Injury, Family Law, Criminal Justice",8,8 attorneys reported. No website available.,Not Started,
"DEMPSEY, KINGSLAND & OSTEEN",https://www.dko-law.com/,"Personal Injury, Medical Malpractice, Nursing Home Negligence, Motor Vehicle, Vaccine Injury",11,11 attorneys reported. No website. Cannot determine specialization.,Not Started,
"DENNING LAW FIRM, LLC",https://www.denninglawfirm.com/,"Personal Injury, Civil Rights, Slip & Fall, Motor Vehicle Accidents, Product Liability, Medical Malpractice",9,9 attorneys reported. No website.,Not Started,
"DENT-BENNETT LAW OFFICE - JANECEE L. DENT-BENNETT, PC",https://www.dentbennett.com/,"Estate Planning, Real Estate, Probate, Business Law",7,7 attorneys reported. No website available.,Not Started,
"HALL, R. BRIAN, LAW OFFICE OF",https://www.lawyers.com/kansas-city/missouri/r-brian-hall-1028441-a/,"Family Law, Estate Planning, Real Estate, General Practice",1,58+ years licensed; Distinguished rating (2021); **ICP FIT: Family Law + Estate Planning**,Not Started,
"HALLAUER LAW OFFICE, LLC",https://www.hallauerlawoffice.com/,"Estate Planning, Probate, Property Law, Trust Administration",1,Debra Davis Hallauer; licensed MO/KS; practicing since 1990; **ICP FIT: Estate Planning**,Not Started,
"HANNA, MICHAEL W., LAW OFFICE OF",www.hannalegal.com,"Family Law, Criminal Defense, Probate, Estate Planning, Adoptions, Child Custody, DUI/DWI",1,Solo practitioner. Website exists but no detailed practice areas found in search.,Not Started,
"HANSON LAW, LLC",https://www.hansonlawkc.com/,"Workers Compensation, Personal Injury, Auto/Motorcycle Injury",2,Lance and Jake Hanson; serves MO and KS,Not Started,
"HEALY LAW FIRM, LLC, THE",www.healylawyers.com,Unknown,1,Solo practitioner. Website exists but practice areas not detailed in search results.,Not Started,Yes - practice areas unknown or uncategorized
LAW OFFICE OF CHARLES ANDRES,https://andreslawfirm.com/,"Estate Planning, Probate, Trust Administration, Elder Law, Real Estate, Tax Planning",1,Founded 1995; **Currently retired/closed** per recent updates,Not Started,Yes - practice areas unknown or uncategorized
"NELSON LAW FIRM, PC",,"Estate Planning, General Practice",7,"CLOSED as of December 31, 2021. No longer in operation.",Not Started,Yes - may be closed; verify status
"NEWMAN, COMLEY & RUTH",,"Real Estate, Agricultural Law, Personal Injury, Utility Law",8,"Jefferson City, MO location (NOT Kansas City). 30+ year firm with 9 lawyers. Regional firm, not KC metro primary.",Not Started,
"RYAN, HUGH H., LAW OFFICE OF",http://www.hughryanlaw.com/,"Business, Contract, Insurance, Employment Discrimination, Construction",1,Solo practitioner. No website found. Insufficient data for ICP scoring.,Not Started,
"SWARTZBAUGH, E. DAVID, LAW OFFICE",,"Employment Law, Business Law",1,Solo employment & business attorney. ~$109K annual revenue. Limited information. Not target ICP.,Not Started,
"THE ANGLES LAW FIRM, LLC",www.angleslaw.com,unknown,1,Solo practitioner. Website exists but practice areas not clearly identified in search. Kansas City location.,Not Started,Yes - practice areas unknown or uncategorized
"THE LAW OFFICE OF JASMINE ABOU-KASSEM, LLC",https://jaklawllc.com/,"Employment Discrimination, Civil Rights, Personal Injury",1,Founded 2018; UMKC Law grad; ex-Hallmark/Crayola in-house counsel; $87M+ settlement record,Not Started,
THE ROE LAW FIRM LLC,https://ltrlawfirm.com/,"Real Estate Law, Business Law",1,No clear web presence found. Roe & Epstein LLP (real estate) may be related. Insufficient data.,Not Started,
"THOMPSON COBURN, LLP",,"Multi-practice, 450+ attorneys",1,Large St. Louis-based national firm (450+ attorneys). No Kansas City office. Not target ICP geography.,Not Started,
"WELLS LAW FIRM, PC, THE",,Personal Injury,1,Solo personal injury attorney. Limited information. Not target ICP.,Not Started,
"ALVAREZ LAW FIRM, P.C.",www.alvarezlawkc.com,"Immigration, Social Security & Disability, Personal Injury, Wrongful Death, Employee Benefits, Criminal Law, Family Law",1,"Solo practitioner (Robert Anthony Alvarez, licensed MO+KS). General practice mix. Some family law, but primary focus appears to be immigration + disability. Established 2007. Limited family law emphasis.",Not Started,
HAZELTON & LANER LLP,,"General Civil Practice, Corporate Law, Probate, Real Estate, Taxation",3,3 attorneys. General civil practice with probate. Some estate focus but limited details. Moderate ICP alignment.,Not Started,
"HUTCHINGS & SCHWAPPACH, LLC",www.kcaccidentattorneys.com,"Personal Injury, Family Law, Juvenile Law, Estate Planning",79,"79 attorneys (large firm). Multiple practice areas including family law and estate planning, but personal injury is primary. Mixed signals on ICP.",Not Started,
KAPKE WILLERTH LLC,,"Civil Litigation, Real Estate, Probate & Estate Planning, Trust Administration, Employment Disputes, Personal Injury",1,1 attorney per input. Over 40 years experience. Lee's Summit base. Estate planning & probate focus fits ICP. Website limited content but multiple practice areas indicate small multi-practice firm.,Not Started,
LAW FIRM OF KEVIN STUART CAVANAUGH,https://www.cavlaw.com/,"Estate Planning, Family Law, Paternity, Real Estate",1,"Solo practice in Leawood, KS. Insufficient information for ICP assessment.",Not Started,
"MCLEAN, ROGER W., P.A.",,"Personal Injury, Auto Accidents, Wrongful Death",7,"Solo practitioner with 40 years experience. Personal injury focus only. Limited to individual cases, not firm-focused.",Not Started,
MCLEOD LAW FIRM P.C.,,"Medical Malpractice, Commercial Litigation, Personal Injury, Mediation",7,Solo practitioner - Richard McLeod. Primarily ADR/mediation. Not a fit for CaseDelta's platform (individual focus).,Not Started,
"MCMAHON, JOHN C., LAW OFFICE OF",,"Patent Law, Trademark, Copyright, IP Law",7,"IP specialist, now part of Avek IP LLC. Does not handle litigation or document-heavy practice areas. Low ICP fit.",Not Started,
MCQUAIN & ROSENBLOOM PC,,"Tax Law, Business Law, Family Law",9,Tax-focused firm with some family law. Founded 1982. Moderate litigation involvement. ICP candidate but tax-heavy.,Not Started,
"MCROBERTS & HARTIS, P.C.",,"Environmental Law, Real Estate, Compliance, Transactional",9,Environmental/real estate specialists. Not litigation-focused. Environmental compliance niche. Low document analysis value.,Not Started,
"MENCL LAW FIRM, THE",,Personal Injury,7,Solo/small firm. Lee's Summit location. Personal injury only. Limited upside.,Not Started,
"MEYERS, SHARON J., LAW OFFICES OF",,Social Security Disability,8,Specialized SSDI practice. Administrative law focus. Not litigation-heavy. Low document analysis value for CaseDelta.,Not Started,
MILLER & COMPANY P.C.,,"International Trade Law, Customs Law, Import/Export, Foreign Trade Zones",9,International trade specialist. Niche area. Not litigation-focused. Document analysis minimal value.,Not Started,
NAPOLI SHKOLNIK,,"Personal Injury, Mass Torts, Class Actions, Product Liability",6,"National firm with Overland Park office. $20B+ in settlements. Class action/mass tort focus. Large sophisticated firm, may not need CaseDelta.",Not Started,
"NASTEFF & QUINN, LLC",,"Employment Law, Business Litigation, Personal Injury, Special Education Law",8,"Founded 2015. Amy Quinn + Mark Nasteff partners. Mixed practice (employment, litigation). Moderate ICP candidate.",Not Started,
"NATHAN C. HARBUR, CHTD.",,"Personal Injury, Business Law, Real Estate, Corporate Law",8,Solo practitioner. 40+ years experience. General practice. Limited to individual/small business clients.,Not Started,
"NEWHOUSE BYERS SWANEY & JEFFERS, P.C.",,"Estate Planning, Real Estate, Wills",6,"Independence, MO location (Kansas City metro). Small firm. Estate planning + real estate. Limited litigation exposure.",Not Started,
NICOL MEDIATION LLC,,"Mediation, ADR, Civil Disputes",6,Mediation specialist (Jonathon Nicol). ADR-focused. Not litigation firm. Low document analysis value.,Not Started,
ODLE LAW FIRM,,"Entertainment Law, Sports Law, Commercial Litigation, Labor Law, Civil Rights",7,"Parkville, MO. Opened 2021. Boutique entertainment/sports focus. Solo practitioner. Low ICP relevance.",Not Started,
"ROTH DAVIES, LLC",,"Personal Injury, Criminal Defense, Family Law",1,"Overland Park, KS. Multi-practice (PI, criminal, family). Family law is one of three areas. Limited estate planning focus.",Not Started,
"RUSSELL, C. ANDERSON, LAW OFFICE",,General Practice,1,Solo practitioner. Limited web presence. Baltimore Ave location. General practice.,Not Started,
"SALMON, STEVEN B., LAW OFFICES OF",,"Criminal Law, Family Law",1,"Solo/small firm. Criminal law primary, family law secondary. 32+ years experience. Limited ICP fit.",Not Started,
"SHAPIRO & KREISMAN, LLC",,"Real Estate, Bankruptcy, Commercial Litigation",9,"Multi-location (Earth City, Mission KS, Overland Park KS). Real estate & bankruptcy focus. Not family law.",Not Started,
"SHAPIRO LAW OFFICE, P.A.",,"Transportation Law, Collections, Business Litigation, Family Law, Real Estate",8,"Overland Park, KS. Established 2004. Multi-practice firm. Family law is one of several areas.",Not Started,
"SUMMERS LAW FIRM, LC",,"Probate, Business Law, Trusts & Estates",1,Estate & probate specialist. Strong ICP fit (trusts & estates). Limited information available.,Not Started,
TAHIRKHELI & PREMER-CHAVEZ LAW OFFICE,,"Criminal Defense, Personal Injury, Family Law, Estate Planning",1,Multi-location (Liberal & KC). Mixed criminal/personal injury/family focus. Moderate ICP fit (has family law).,Not Started,
"TEEL LAW FIRM, LLC",,"Personal Injury, Probate, Business, Criminal Law",1,Kansas City-based. Mixed practice including probate. Limited signals on full scope.,Not Started,
"TRADER & SULLIVAN, L.L.C.",,"Personal Injury, Product Liability",1,Search returned Sullivan Law LLC info. Assume similar personal injury focus. Not target ICP.,Not Started,
WELCH & WEBB LLC,,"Personal Injury, Criminal Defense, Estate Planning, Probate",1,"Small firm with mixed practice. Limited signals on size. Not strong ICP fit (personal injury focused, not family law).",Not Started,
"WHIPPLE LAW FIRM, PC",,"Workers Compensation, Personal Injury, Disability, Estate Planning, Traffic",1,Small firm with mixed practice including estate planning. Kansas City area. Limited ICP fit.,Not Started,
"WICKERSHAM, STEVEN K., LAW OFFICE OF",,"Workers Compensation, Personal Injury, Family Law, Social Security, Employment Law",1,Solo attorney with 49 years licensed. Mixed practice including family law. Limited firm size.,Not Started,
"WICKHAM & WOOD, LLC",,"Labor Law, Workers Compensation, Employment Discrimination, Personal Injury",1,20+ year history serving labor unions. Labor & employment focus. Not target ICP.,Not Started,
"WILKINS, FRED, LAW OFFICE OF",,Alternative Dispute Resolution,1,Top-rated ADR attorney (deceased Apr 2025). Not target ICP.,Not Started,
ACCURSO & ASSOCIATES LLC,www.accursolawkc.com,general_practice,1,,Not Started,Yes - practice areas unknown or uncategorized
ALSPAUGH FAMILY LAW,,family/estate/immigration/real_estate/M&A,1,,Not Started,Yes - practice areas unknown or uncategorized
ANDERSEN & ASSOCIATES,,general_practice,9,,Not Started,Yes - practice areas unknown or uncategorized
ANDERSON & ASSOCIATES,www.mokslaw.com,general_practice,4,,Not Started,Yes - practice areas unknown or uncategorized
"B. Hurd, Kameron Kelly, Thomas B. Luebbering, Gregory J. Skoch, Paul Walker, Matthew B. Walters)",,unknown,1,,Not Started,Yes - practice areas unknown or uncategorized
BRADY & ASSOCIATES LAW OFFICE,,general_practice,8,,Not Started,Yes - practice areas unknown or uncategorized
"BRENTON LAW GROUP, PA",,general_practice,6,,Not Started,Yes - practice areas unknown or uncategorized
CHELEPIS & ASSOCIATES,chelepis.com,general_practice,1,,Not Started,Yes - practice areas unknown or uncategorized
"COLLABORATIVE LEGAL SOLUTIONS, LC",www.clslaw-firm.com,litigation/employment/healthcare/tax,1,,Not Started,Yes - practice areas unknown or uncategorized
"COMMERCIAL LAW GROUP, PA",www.commerciallawgroup.net,general_practice,1,,Not Started,Yes - practice areas unknown or uncategorized
DAVIS FAMILY LAW,,family/estate/immigration/real_estate/M&A,7,,Not Started,Yes - practice areas unknown or uncategorized
DEVAUGHN JAMES INJURY LAWYERS,,PI/contingency,11,,Not Started,Yes - practice areas unknown or uncategorized
