Firm Name,Address,Phone,Fax,Website,Key Contacts,Attorney Count (Est.),ICP Score (1-5),Practice Areas,Firm Size Bucket,ICP Notes,Outreach Status,Last Contact,Next Follow-up,Notes
NASH & FRANCISKATO LAW FIRM,,,,4,"Personal Injury, Medical Malpractice, Product Liability, Wrongful Death, Defective Medical Devices",10,high,Founded 2004. 4 Super Lawyers. $50M+ in settlements. Downtown KC location. Strong litigation practice. Excellent ICP candidate.,,,Not Started,,,
NELSON & YARNELL,,,,5,"Family Law, Divorce, Child Custody, Property Division",9,high,Established 2008. Super Lawyer (Ronald Nelson). Family law specialist. 3-attorney firm. AAML Fellow. Excellent ICP candidate for family law vertical.,,,Not Started,,,
"NICHOLS LAW FIRM, LLC, THE",,,,3,"Civil Litigation, Personal Injury, Auto Accidents, Employment Law, Medical Malpractice",7,high,Established 2000. 20+ years prior experience. Multi-practice litigation focus. Clay/Platte/Jackson counties. Good litigation exposure.,,,Not Started,,,
"NIGRO LAW FIRM, LLC",,,,1,"Criminal Defense, DUI/DWI, Drug Offenses, Assault",8,high,"Criminal defense only. Founded 1997. Super Lawyer (Ross Nigro). Not ICP fit - CaseDelta targets civil litigation (family, estate, M&A).",,,Not Started,,,
NOLAND LAW FIRM LLC,,,,4,"Personal Injury, Auto Accidents, Truck Accidents, Medical Malpractice, Workers Compensation",9,high,"Liberty, MO location (Kansas City metro). 55+ years combined experience. Broad personal injury portfolio. Strong litigation firm. Good ICP candidate.",,,Not Started,,,
"NORMAN & GRAVES, LLC",,,,4,"Personal Injury, Product Liability, Medical Malpractice, Class Action, Mass Tort",10,high,Founded 2003. 3 Super Lawyers. $100M+ in verdicts/settlements. Plaza area location. Strong litigation focus. Excellent ICP candidate.,,,Not Started,,,
"NORRIS KEPLINGER HICKS & WELDER, LLC",,,,4,"Civil Litigation, Personal Injury, Construction Law, Professional Liability, Medical Malpractice",14,high,"Overland Park, KS location. AV-rated firm. 200+ jury trials. Chambers USA ranked. Multi-practice litigation firm. Strong ICP candidate.",,,Not Started,,,
"NORTON & SPENCER, P.C.",,,,4,"Personal Injury, Medical Malpractice, Trucking Accidents, Wrongful Death, Construction Accidents",11,high,Established 1952. 60+ years experience. Principal attorney 150+ jury trials. $50M+ in settlements. North KC location. Excellent ICP candidate.,,,Not Started,,,
"NORTON HARE, L.L.C.",,,,3,"Family Law, Divorce, DUI/Criminal Defense, Personal Injury",11,high,"Overland Park, KS location. AV-rated (highest Martindale-Hubbell). Family law + criminal. Multi-practice. Family law ICP angle.",,,Not Started,,,
"OFODU LAW OFFICES, LLC",,,,4,"Personal Injury, Product Liability, Medical Malpractice, Auto Accidents, Truck Accidents",9,high,Downtown KC location (Grand Blvd). Solo/small firm. Strong personal injury portfolio. Good litigation exposure. ICP candidate.,,,Not Started,,,
"OGLETREE, DEAKINS, NASH, SMOAK & STEWART, PC",,,,3,"Employment Law, Labor Law, Class Action Defense, FLSA Litigation",23,high,"National firm (1,100+ attorneys, 60 offices). KC office 16 lawyers. Employment law specialist. Large sophisticated firm - may not need CaseDelta but document-heavy practice.",,,Not Started,,,
"OLIVER & REICHEL, PA",,,,4,"Medical Malpractice, Birth Injuries, Spinal Cord Injuries",12,high,"Overland Park, KS. Two attorneys with 25+ years experience. Super Lawyer status. Specialized medical malpractice. Excellent ICP candidate.",,,Not Started,,,
"ROBB, TAYLOR & O'CONNOR",,,,1,"Personal Injury, Wrongful Death, Workers' Compensation",9,high,"Kansas City, KS. Personal injury focus only. Not family law or estate. Criminal score only.",,,Not Started,,,
"RONAN LAW FIRM, THE",,,,1,"Medical Malpractice, Personal Injury, Wrongful Death, Nursing Home Negligence, Vaccine Litigation",1,high,"Overland Park, KS. Personal injury/medical malpractice focus. 45+ years experience. ICP mismatch.",,,Not Started,,,
"ROUSE FRETS WHITE GOSS GENTILE RHODES, P.C.",,,,3,"Business & Corporate Law, Real Estate, Construction Law, Medical Malpractice Defense, Commercial Litigation, Estate Planning, Labor & Employment",1,high,"Multi-office KC firm (Leawood, KC offices). 60+ attorneys total. Estate planning included but not primary. Regional firm.",,,Not Started,,,
"RS LAW, LLC",,,,4,"Family Law, Bankruptcy, Personal Injury, Estate Planning",1,high,High-asset family law focus. Located in Kansas City. ICP fit: family law + bankruptcy + solid size.,,,Not Started,,,
"RUBINS, KASE, HAGER, & CAMBIANO P.C.",,,,2,"Personal Injury, Social Security, Workers' Compensation",1,high,"Founded 1950. Personal injury focus, not family law. Larger firm (10+ attorneys). Not ideal ICP.",,,Not Started,,,
"RYNEARSON, SUESS, SCHNURBUSCH & CHAMPION LLC",,,,2,"Civil Litigation, Premises Liability Defense, Products Liability",1,high,"Multi-state firm with KC office. Civil litigation focus, not family law/estate. ICP mismatch.",,,Not Started,,,
"SADER LAW FIRM, LLC",,,,2,"Bankruptcy, Foreclosure Relief, Debt Relief, Real Estate, Commercial Collections",1,high,"Founded 1997, bankruptcy-focused. Not family law or estate planning focused. ICP mismatch.",,,Not Started,,,
"SAGE LAW, LLP",,,,5,"Estate Planning, Probate, Trust Administration, Estate Litigation, Elder Law, Civil Litigation, Family Law",1,high,"Excellent ICP fit: estate planning, probate, elder law, family law. Overland Park-based. 10+ attorneys. Primary practice areas match CaseDelta ICP perfectly.",,,Not Started,,,
"SANDAGE LAW, LLC",,,,1,"Criminal Defense, Professional License Discipline, White Collar Crime, Personal Injury",1,high,"Founded 1995. Criminal defense focus, not family law/estate. ICP score 1 - criminal only focus.",,,Not Started,,,
SANDBERG PHOENIX & VON GONTARD P.C.,,,,3,"Business, Business Litigation, Health Law, Intellectual Property, Products Liability, Individual & Family Law",1,high,Large multi-office firm (180+ attorneys). Family law is one of many practices. Kansas City office confirmed. General corporate litigation focus.,,,Not Started,,,
"SESSION LAW FIRM, THE",,,,1,Environmental Law,8,high,Environmental law specialist. Not family law/estate/litigation. ICP mismatch.,,,Not Started,,,
SEXTON & SHELOR,,,,3,"Medical Malpractice, Personal Injury, Domestic Relations, Workers' Compensation",8,high,"Established 1982. Personal injury primary, family law secondary. Shawnee Mission/Overland Park area.",,,Not Started,,,
"SEXTON, BENDER, HILL & STEINMAN, P.C.",,,,4,"Probate, Family Law, Real Estate, Civil Litigation, Estate Planning, Tax Law",14,high,"Gladstone, MO (KC area). Probate & family law primary. ICP fit: family law + estate planning. 10+ attorneys.",,,Not Started,,,
SEYFERTH BLUMENTHAL & HARRIS LLC,,,,2,"Commercial Litigation, Employment Litigation, Labor & Employment",21,high,Founded by BigLaw refugees. 13 lawyers. Labor & employment focus. Not family law/estate. ICP mismatch.,,,Not Started,,,
"SHACHTMAN LAW FIRM, THE",,,,1,"Personal Injury - General, Medical Malpractice, Products Liability",8,high,Personal injury plaintiff focus. Super Lawyer (Scott Shachtman). Not family law/estate. ICP mismatch.,,,Not Started,,,
SHAFFER LOMBARDO SHURIN,,,,2,"Construction Law, Business Litigation, Professional Liability, ADR, Business & Transactional Law",16,high,Founded 1994. Construction & commercial litigation focus. 12+ attorneys. ICP mismatch.,,,Not Started,,,
"SHAMBERG, JOHNSON & BERGMAN, CHTD.",,,,1,"Personal Injury, Wrongful Death, Medical Malpractice",28,high,Founded 1949. Personal injury specialist. 850M+ recovery record. Not family law. ICP mismatch.,,,Not Started,,,
"SHANK & HEINEMANN, LLC",,,,1,"Business Litigation, Commercial Litigation",10,high,"Mission Woods, KS. Commercial litigation focus. Not family law/estate. ICP mismatch.",,,Not Started,,,
"SHARMA-CRAWFORD, THE CLINIC AT, ATTORNEYS AT LAW",,,,1,"Immigration Law, Removal Defense, Appeals",9,high,Nonprofit law clinic. Immigration law specialist. Not family law/estate. ICP mismatch.,,,Not Started,,,
SHARP LAW LLP,,,,1,"Class Action Litigation, Complex Litigation, Antitrust, RICO, Consumer Protection",17,high,"Overland Park, KS. Class action/complex litigation focus. 50+ lead counsel cases. ICP mismatch.",,,Not Started,,,
"SHELTON LAW OFFICE, P.A.",,,,1,"Personal Injury, Wrongful Death, Foster Care Abuse, Insurance Dispute, Negligence",8,high,"Overland Park, KS. Personal injury/abuse focus. 20+ years trial experience. Not family law/estate.",,,Not Started,,,
"SHETLAR, JAMES R., LAW OFFICES, PA",,,,1,"Personal Injury, Medical Malpractice, Workers' Compensation",8,high,"Overland Park, KS. Medical litigation & injury focus. 35+ years experience. Not family law.",,,Not Started,,,
"SHIPMAN & DEHARDT, P.C.",,,,4,"Criminal Law, Family Law, Probate Law, Civil Law",10,high,Husband/wife team. Kansas City metro. ICP fit: family law + probate + civil litigation. 75+ combined years.,,,Not Started,,,
"SHOOK, HARDY & BACON L.L.P.",,,,1,"Intellectual Property, Environmental & Toxic Tort, Employment Litigation, Commercial Litigation, Products Liability, Cannabis",239,high,Large international firm (239 attorneys). Kansas City HQ. Litigation/IP focus. Not family law/estate. ICP mismatch.,,,Not Started,,,
STURDEVANT LAW OFFICE,,,,5,"Estate Planning, Probate, Elder Law",1,high,44+ years experience. Estate planning + probate specialist. Strong ICP fit (estate planning focus). Solo limits scale.,,,Not Started,,,
SULLIVAN LAW L.L.C.,,,,1,"Product Liability, Personal Injury, Wrongful Death, Civil Litigation",1,high,"Personal injury & product liability specialist, $100M+ in settlements. Not target ICP.",,,Not Started,,,
"SUMMERS & JOHNSON, PC",,,,1,"Medical Device Litigation, Defective Drug Litigation, Personal Injury",1,high,"Weston, MO-based with KC office. 30-year history in medical device/drug litigation. Not target ICP.",,,Not Started,,,
"SUTTON LAW OFFICE, PA",,,,5,"Estate Planning, Probate, Business Law, Elder Law",1,high,"Overland Park, KS. Estate planning + probate focus. Strong ICP fit (estate planning/probate). Founded 1999.",,,Not Started,,,
SWANSON BERNARD LLC,,,,4,"Corporate Law, Litigation, Tax, Trusts & Estates, Real Estate, Employment",1,high,Kansas City full-service firm. 7+ Super Lawyers listed. Strong in trusts & estates. Not strong family law signals.,,,Not Started,,,
"TAFRESHI LAW, LLC",,,,5,"Family Law, Estate Planning, Divorce, Probate, Guardianship, Adoption",1,high,"Olathe, KS. Strong family law + estate planning focus. Dana Tafreshi founded 2012. Excellent ICP fit.",,,Not Started,,,
TAMMY HORN LLC,,,,1,Employment Litigation,1,high,"30+ years trial attorney, employment litigation focused. Not target ICP.",,,Not Started,,,
"TERRIL LAW FIRM, LLC",,,,1,Personal Injury,1,high,"Personal injury specialist, Super Lawyer rated. Founded 1996. Not target ICP.",,,Not Started,,,
THE ACCURSO LAW FIRM,"4646 Roanoke Pkwy., Kansas City, MO 64112",(816) 561-3900,www.accursolaw.com,3,"Personal Injury, Products Liability, Commercial Litigation, Insurance Defense",8,high,"8 attorneys reported. Personal injury focus, litigation-heavy. Not ideal for CaseDelta (personal injury, not document-heavy practice areas like family law or estate). Has recovered $95M+ for clients.",,,Not Started,,,
THE HASTINGS LAW FIRM,"908 Baltimore Ave, Ste 303, Kansas City, MO 64105",(816) 423-2530,www.hastingslawfirmonline.com,1,"Criminal Defense, Felony Defense",1,high,Solo attorney (Molly Hastings). 23 years criminal defense experience. Exclusive criminal practice. Not aligned with ICP. Score 1 (criminal only).,,,Not Started,,,
THE KENNER LAW FIRM P.C.,"4600 Madison, Ste. 650, Kansas City, MO 64112-3032",(816) 753-5678,,2,"Personal Injury, Medical Malpractice, Nursing Home Abuse, Trucking Accidents",1,high,"6 attorneys. Medical malpractice and personal injury focus. Not aligned with ICP (family law, estate, immigration preferred).",,,Not Started,,,
"THE LAW OFFICES OF TRACY L. ROBINSON, LC",,,,1,"Bankruptcy, Consumer Law",1,high,Founded 1993. Bankruptcy specialist. Not family law/estate. ICP mismatch.,,,Not Started,,,
"THE MEYERS LAW FIRM, LC",,,,3,"Employment Law, Civil Rights, Personal Injury, Consumer Law",11,high,Founded 1981. Employment + civil rights focus. Major win: $57M age discrimination settlement. Document-intensive litigation.,,,Not Started,,,
"THE NAIL LAW FIRM, LLC",,,,4,"Personal Injury, Medical Malpractice, Catastrophic Injury, Trucking Accidents",8,high,"Founded by Roger Nail. 2 Super Lawyers. High-value catastrophic cases. Multi-office (KC, Lee's Summit). Strong ICP fit.",,,Not Started,,,
THE WELDER FIRM,,,,1,"Catastrophic Injury, Wrongful Death, Workers Compensation, Auto/Truck Accidents",1,high,"Plaintiff personal injury firm. Not target ICP (injury litigation, not family/estate/immigration).",,,Not Started,,,
"THILGES BERNHARDT & ISAACS, ATTORNEYS AT LAW, LLC",,,,5,"Divorce, High-Asset Divorce, Family Law, Mediation, Paternity, Prenuptial/Postnuptial",1,high,"Overland Park boutique family law firm since 1991. 4+ attorneys. Excellent ICP fit - family law specialist, high-asset focus.",,,Not Started,,,
"THOMASON, MARK, LAW OFFICE OF, LLC",,,,1,Criminal Law,1,high,Criminal law specialist with KC and Blue Springs offices. 44+ years experience. Not target ICP.,,,Not Started,,,
"THOMPSON LAW OFFICES, P.C.",,,,1,"Personal Injury, Product Liability, Traumatic Brain Injury",1,high,North Kansas City personal injury trial firm. Contingency model. Not target ICP.,,,Not Started,,,
"THORNBERRY BROWN, LLC",,,,2,"Employment Law, Personal Injury, Discrimination, Retaliation",1,high,Kansas City employment & personal injury firm. 15+ year history. Not target ICP (employment/PI focused).,,,Not Started,,,
TOMASIC & REHORN,,,,2,"Workers Compensation, Business, Employment, Real Estate",1,high,"Kansas City, KS since partnership formed. 50+ years combined experience. Not target ICP.",,,Not Started,,,
"TONGIER, JOHN D., LLC",,,,1,"Mediation, Personal Injury, Medical Negligence",1,high,"Overland Park mediator, 40+ years experience. Almost exclusively mediation since 2018. Not target ICP.",,,Not Started,,,
"TROPPITO MILLER GRIFFIN, LLC",,,,2,"Construction Law, DUI/DWI, Criminal Law, Bankruptcy, Real Estate, Estate Planning",1,high,"Full-service firm, founded 1940. Construction law specialist. Limited estate planning signals. Not strong ICP fit.",,,Not Started,,,
TURNER & SWEENEY,,,,1,"Personal Injury, Medical Malpractice, Products Liability, Wrongful Death",1,high,Established 1998. Personal injury & medical malpractice. 2 Super Lawyers listed. Not target ICP.,,,Not Started,,,
TURNER & SWEENY,,,,2,"Personal Injury, Medical Malpractice, Workers Compensation, Auto Accidents, Wrongful Death",1,high,"2 attorneys (Christopher P. Sweeny, John E. Turner - both Super Lawyers). Located at 10401 Holmes Rd, Suite 250, KC MO. Founded 1998. Personal injury focus only. Not family law/estate. Low ICP fit.",,,Not Started,,,
TURNEY LG,,,,2,"Product Liability, Professional Liability, Medical Liability, Insurance Liability",1,high,Kansas City litigation boutique. Defense-focused (product/professional/medical liability). Not target ICP.,,,Not Started,,,
"WALTERS LAW FIRM, LLC",,,,2,"Serious Injury, Wrongful Death, Personal Injury",1,high,"2 attorneys (Lon Walters, Christin DiMartino). Located at 23A E 3rd St, KC MO. Serious injury and wrongful death focus since 1998. Not family law/estate. Low ICP fit.",,,Not Started,,,
"WALTERS RENWICK RICHARDS & VAUGHAN, P.C.",,,,2,"Class Action, Complex Litigation, Construction Law, Product Liability, Personal Injury, Consumer Fraud, Business Disputes, Medical Malpractice",1,high,"4 attorneys (R. Frederick Walters, J. Michael Vaughan, Karen W. Renwick, Kip D. Richards - all Super Lawyers). Located at 1100 Main City Center Square, Suite 2500, KC MO. Founded 1991. Litigation powerhouse with major verdicts ($217.7M, $12M settlements). Not family law. Low ICP fit.",,,Not Started,,,
"WARDEN GRIER, LLP",,,,2,"Commercial Litigation, Civil Trial Practice, Arbitration, Financial Loss Litigation, Property Loss, Medical Malpractice, Legal Malpractice, Fiduciary Claims, Construction Litigation",1,high,"6 attorneys (J. Michael Grier, James M. Warden, others). Located at 420 Nichols Rd, Suite 200, KC MO. Founded 2002. Commercial litigation powerhouse. Not family law. Low ICP fit.",,,Not Started,,,
"WASSBERG, JOHN, LAW OFFICE, LLC",,,,2,"Business Transactions, Tax Law, Real Estate Law",1,high,"John I. Wassberg solo practice. Located at 8601 Ash Lane, Prairie Village KS. Admitted 1969 (55+ years). Business, litigation, and real estate focus. AV Preeminent rating. Not family law. Low ICP fit.",,,Not Started,,,
"WATSON & DAMERON, LLP",,,,2,"Personal Injury, Workers Compensation, Immigration, Criminal Law, Medical Malpractice, Traffic Court",1,high,"3 attorneys (Russell S. Dameron, Kathleen Marie Hagen, Henri J. Watson). Located at 2500 Holmes St, KC MO. Founded 1984. Diverse practice areas but no family law. Low ICP fit.",,,Not Started,,,
WATTERS WOLF BUB HANSMANN,,,,3,"Civil Litigation, Personal Injury, Appellate Law, Insurance Coverage, Construction Litigation, Employment & Labor",1,high,"Trial lawyers with 40+ years experience, 1000+ cases tried. Multi-state appellate practice. Not target ICP (no family/estate/immigration).",,,Not Started,,,
WENDT LAW FIRM P.C.,,,,1,Personal Injury,1,high,"Personal injury trial firm, $100M+ in settlements. Founded attorney Samuel Wendt. Not target ICP.",,,Not Started,,,
"WHITE, F.A., LAW OFFICE OF",,,,1,"Criminal Defense, Federal Practice",1,high,Criminal defense focused. Not target ICP.,,,Not Started,,,
"WHITE, GRAHAM, BUCKLEY & CARR, LLC",,,,2,"Personal Injury, Employment Discrimination",1,high,"Established 1980, Independence, MO. Personal injury & employment focus. Not target ICP.",,,Not Started,,,
WIEDNER & MCAULIFFE,,,,2,"Workers Compensation, Civil Litigation",1,high,"National firm founded 1973, KC office part of multi-state presence. Defense litigation & workers comp focus. Not target ICP.",,,Not Started,,,
"WIESNER & FRACKOWIAK, LC",,,,1,"Bankruptcy, Tax Law",1,high,"Bankruptcy & tax specialist, 50+ years experience. Overland Park, KS. Not target ICP.",,,Not Started,,,
WILKES & DUNN,,,,2,"Contracts, Business Organizations, Real Estate, Litigation, Criminal",1,high,"Kansas partnership since 1977, AV rated. General practice with business focus. Not target ICP.",,,Not Started,,,
"WILLENS, MARK L., LAW OFFICE OF",,,,5,"Family Law, Real Estate, Personal Injury, Estate Planning, Probate, Litigation",1,high,41+ years family law experience. Family law + estate planning + probate. Strong ICP fit (family law + estate). Solo practice limits scale.,,,Not Started,,,
"WILLIAMS & CAMPO, PC",,,,1,"Municipal Law, Economic Development, Eminent Domain, Utilities, Land Use",1,high,Lee's Summit-based municipal law firm. Established 2005. Not target ICP.,,,Not Started,,,
WILLIAMS DIRKS DAMERON LLC,"12117 Dearborn St., Overland Park, KS 66209",(913) 266-8169,www.yonke-law.com,3,"Employment Law, Labor Relations, Patent Law, Wage & Hour, Class Actions, Business Law",42,high,"Established 2013, 8 employees. Business litigation & employment focus. Not target ICP (no family/estate/immigration).",,,Not Started,,,
ADAMS LAW OFFICES,"1400 SW US Highway 40, Blue Springs, MO 64015-4616",(816) 228-1776,,2,unknown,1,low,Solo practitioner. No website. Unable to determine practice areas.,,,Not Started,,,
ALDRIDGE & HALL VFW Bldg.,"406 W. 34th St., Ste. 410, Kansas City, MO 64111-2782",(816) 531-5787,,2,unknown,1,low,Solo practitioner. No website. Unable to determine practice areas.,,,Not Started,,,
"ALTIERI LAW, LLC","210 SW Market St. Ste 126, Lee’s Summit, MO 64063",(816) 695-1739,,2,unknown,1,low,Solo practitioner. No website. Unable to determine practice areas. Lee's Summit location.,,,Not Started,,,
"ANDERSON & MILHOLLAND, PC","2502 W. Mechanic St., P.O. Box A, Harrisonville, MO 64701",(816) 380-3366,andersonmilholland.net,2,unknown,1,low,"Solo practitioner. Limited web presence. Unable to determine practice areas. Harrisonville, MO location.",,,Not Started,,,
"ARENSBERG LAW OFFICES, PA","PO Box 7646, Overland Park, KS 66207-0646",(913) 346-4700,,2,unknown,1,low,"Solo practitioner. No website. Overland Park, KS location. Unable to determine practice areas.",,,Not Started,,,
"BOGGS LAW FIRM, LLC, THE Picture Hills Centre",,,,3,unknown,8,low,8 attorneys reported. Duplicate/alternative entry for BOGGS LAW FIRM (see line 19 for details).,,,Not Started,,,
BOLSTAD & RUARK,,,,3,unknown,8,low,8 attorneys reported. No website or contact info in batch. Unable to determine practice areas.,,,Not Started,,,
BOLSTAD & RUARK (duplicate),,,,3,unknown,5-10,low,Duplicate entry. See line 21 for full details.,,,Not Started,,,
"BOND LAW OFFICE, LLC",,,,3,unknown,7,low,7 attorneys reported. No website or contact info in batch. Unable to determine practice areas.,,,Not Started,,,
"BOND LAW OFFICE, LLC (duplicate)",,,,3,unknown,5-10,low,Duplicate entry. See line 22 for full details.,,,Not Started,,,
"BOSCH, DENNIS B., LAW OFFICE OF",,,,2,unknown,6,low,6 attorneys reported. No website available to determine practice area focus. Insufficient data for accurate ICP scoring.,,,Not Started,,,
BOWER LAW LLC,,,,2,unknown,5,low,5 attorneys reported. No website available. Cannot determine practice area or specialization.,,,Not Started,,,
"BRADLEY & BRADLEY, LC",,,,2,unknown,9,low,9 attorneys reported. No website available for practice area determination.,,,Not Started,,,
"BRADSHAW, STEELE, COCHRANE",,,,2,unknown,4,low,4 attorneys reported. No website. Insufficient information for ICP assessment.,,,Not Started,,,
"BRANCATO HAGGERTY & PALMENTERE, L.C.",,,,2,unknown,9,low,9 attorneys reported. No website available. Cannot determine specialization.,,,Not Started,,,
"BRATCHER GOCKEL LAW, L.C.",,,,2,unknown,9,low,9 attorneys reported. No website. Practice area unknown.,,,Not Started,,,
"BRESSEL, JEROLD A., CHARTERED",,,,2,unknown,9,low,9 attorneys reported. No website available for research.,,,Not Started,,,
BREWSTER & BREWSTER,,,,2,unknown,7,low,7 attorneys reported. No website. Insufficient data.,,,Not Started,,,
"BROWN & BROWN ATTORNEYS, LLC",,,,2,unknown,8,low,8 attorneys reported. No website available.,,,Not Started,,,
"BROWN & JAMES, PC",,,,2,unknown,15,low,15 attorneys reported. No website. Cannot assess practice area.,,,Not Started,,,
"BROWN & RUPRECHT, PC",,,,2,unknown,16,low,16 attorneys reported. No website available.,,,Not Started,,,
"BROWN LAW FIRM, LLC",,,,3,unknown,8,low,8 attorneys reported. No website or contact info in batch. Unable to determine practice areas.,,,Not Started,,,
"BROWN LAW FIRM, LLC, THE",,(913) 383-2400,,2,unknown,8,low,8 attorneys. Phone (913) 383-2400 provided. No website for practice area research.,,,Not Started,,,
"CLAYMAN, MICHAEL, LAW FIRM","4515 W. 62nd Ter., Fairway, KS 66205",(816) 872-6829,,1,unknown,1,low,Solo practice. No website. Cannot determine specialization.,,,Not Started,,,
"CLIFFORD & SAVIO, LLC","1100 Main St, Ste 2600, Kansas City, MO 64105-5194",,,2,unknown,2,low,2 attorneys in Kansas City. No website. Insufficient data for practice area assessment.,,,Not Started,,,
"COPILEVITZ LAM & RANEY, PC","310 W 20th St, Ste 300, Kansas City, MO 64108-2025",(816) 472-9000,www.kcmba.org,1,unknown,239,low,"Input data shows 239 attorneys, which appears to be KCMBA database listing error (website URL = kcmba.org). Actual firm cannot be assessed.",,,Not Started,,,
"DAVIS LAW FIRM, LLC, THE","8695 College Blvd, Ste. 200, Shawnee Mission, KS 66210",(913) 338-0590,,2,unknown,6,low,6 attorneys reported. No website. Cannot determine practice area.,,,Not Started,,,
"DAVIS, SANDS & COLLINS, P.C.","800 N.E. Vanderbilt Ln., Lee’s Summit, MO 64064",(816) 525-2050,,2,unknown,8,low,8 attorneys reported. No website available for research.,,,Not Started,,,
"DEAN & MODRCIN, LLC","3100 Broadway Blvd., Ste. 602, Kansas City, MO 64111",(816) 421-5544,,2,unknown,7,low,7 attorneys reported. No website. Insufficient data.,,,Not Started,,,
"DEANS, J.H., LAW OFFICE OF","4310 Madison Ave., Kansas City, MO 64111",(816) 416-7070,,2,unknown,7,low,7 attorneys reported. No website available.,,,Not Started,,,
"DEFEQ LAW FIRM, THE","511 E. 11th St., Kansas City, MO 64106",(816) 513-6750,,2,unknown,9,low,9 attorneys reported. No website. Cannot assess specialization.,,,Not Started,,,
"DEJANES, SHERRY D., PC","4515 W. 62nd Ter., Fairway, KS 66205",(816) 872-6829,,2,unknown,6,low,6 attorneys reported. No website. Practice area unknown.,,,Not Started,,,
"DELUCCIE & O'HARA LAW OFFICES, LLC","1100 Main St, Ste 2600, Kansas City, MO 64105-5194",,,2,unknown,8,low,8 attorneys reported. No website available.,,,Not Started,,,
"DEMPSEY, KINGSLAND & OSTEEN","11609 Manor Rd., Leawood, KS 66211",(913) 530-9022,,2,unknown,11,low,11 attorneys reported. No website. Cannot determine specialization.,,,Not Started,,,
"DENNING LAW FIRM, LLC","11225 College Blvd., Ste. 110, Overland Park, KS 66210",(913) 663-5335,,2,unknown,9,low,9 attorneys reported. No website.,,,Not Started,,,
"DENT-BENNETT LAW OFFICE - JANECEE L. DENT-BENNETT, PC","7015 College Blvd. #375, Overland Park, KS 66211",(913) 302-0152,,2,unknown,7,low,7 attorneys reported. No website available.,,,Not Started,,,
"HALL, R. BRIAN, LAW OFFICE OF","1400 N.W. 43rd Terr., Kansas City, MO 64116",(816) 507-3331,,2,Unknown,1,low,Solo practitioner. No website. Unable to determine practice areas. Likely general practice solo.,,,Not Started,,,
"HALLAUER LAW OFFICE, LLC","4707 College Blvd., Ste. 105, Leawood, KS 66211",(913) 345-0000,,2,Unknown,1,low,Solo practitioner. No website. Unable to determine practice areas.,,,Not Started,,,
"HANNA, MICHAEL W., LAW OFFICE OF","10408 E. 63rd Ter., Raytown, MO 64133-5154",(816) 358-5655,www.hannalegal.com,2,Unknown,1,low,Solo practitioner. Website exists but no detailed practice areas found in search.,,,Not Started,,,
"HANSON LAW, LLC","3145 Broadway Blvd, Kansas City, MO 64111",(816) 561-2555,,2,Unknown,2,low,2 attorneys. No website found. Unable to determine practice areas.,,,Not Started,,,
"HEALY LAW FIRM, LLC, THE","425 NE Saint Andrews Cir, Lees Summit, MO 64064-1321",(816) 472-8800,www.healylawyers.com,2,Unknown,1,low,Solo practitioner. Website exists but practice areas not detailed in search results.,,,Not Started,,,
LAW OFFICE OF CHARLES ANDRES,"130 N Cherry St, Ste 103, Olathe, KS 66061-3460",(913) 782-8298,,2,unknown,1,low,"Solo practitioner. No website. Olathe, KS location. Unable to determine practice areas.",,,Not Started,,,
"NELSON LAW FIRM, PC",,,,1,"Estate Planning, General Practice",7,low,"CLOSED as of December 31, 2021. No longer in operation.",,,Not Started,,,
"NEWMAN, COMLEY & RUTH",,,,2,"Real Estate, Agricultural Law, Personal Injury, Utility Law",8,low,"Jefferson City, MO location (NOT Kansas City). 30+ year firm with 9 lawyers. Regional firm, not KC metro primary.",,,Not Started,,,
"RYAN, HUGH H., LAW OFFICE OF",,,,1,Unknown,1,low,Solo practitioner. No website found. Insufficient data for ICP scoring.,,,Not Started,,,
"SWARTZBAUGH, E. DAVID, LAW OFFICE",,,,1,"Employment Law, Business Law",1,low,Solo employment & business attorney. ~$109K annual revenue. Limited information. Not target ICP.,,,Not Started,,,
"THE ANGLES LAW FIRM, LLC","1609 W. 92nd St., Kansas City, MO 64114",(816) 471-5777,www.angleslaw.com,2,unknown,1,low,Solo practitioner. Website exists but practice areas not clearly identified in search. Kansas City location.,,,Not Started,,,
"THE LAW OFFICE OF JASMINE ABOU-KASSEM, LLC","1475 Walnut St, Kansas City, MO 64106-3019",(816) 516-0958,,2,unknown,1,low,Solo practitioner. No website available. Unable to determine practice areas or firm signals.,,,Not Started,,,
THE ROE LAW FIRM LLC,,,,1,Unknown,1,low,No clear web presence found. Roe & Epstein LLP (real estate) may be related. Insufficient data.,,,Not Started,,,
"THOMPSON COBURN, LLP",,,,1,"Multi-practice, 450+ attorneys",1,low,Large St. Louis-based national firm (450+ attorneys). No Kansas City office. Not target ICP geography.,,,Not Started,,,
"WELLS LAW FIRM, PC, THE",,,,1,Personal Injury,1,low,Solo personal injury attorney. Limited information. Not target ICP.,,,Not Started,,,
